Broad field of study and demographic characteristic,Median age at doctorate (years)a,All ages,25 and under,26–30,31–35,36–40,41–45,Over 45
All fields,31.6,100.0,0.8,43.8,31.4,11.6,5.1,7.2
Life sciencesb,31,100.0,0.6,49.1,31.4,9.7,3.8,5.3
Physical sciences and earth sciences,29.5,100.0,1,67.3,23.6,5.0,1.7,1.4
Mathematics and computer sciences,30.4,100.0,1.7,53.6,29.6,8.5,2.8,3.8
Psychology and social sciences,32.3,100.0,0.5,36.2,36.8,13.5,5.4,7.7
Engineering,29.9,100.0,1.5,59.4,28.1,6.5,2.0,2.6
Education,38.3,100.0,0.4,11.3,26.4,22.7,14.2,25
Humanities and arts,34.1,100.0,0.1,21.6,41.8,19.2,8.1,9.2
Otherc,34.8,100.0,1,21.7,34.7,18.4,9.3,14.8
Sex, ,,,,,,,
Male,31.3,100.0,0.8,46.5,31.6,11.2,4.4,5.4
Female,32,100.0,0.8,40.6,31.2,12.2,5.8,9.4
Citizenship status,,,,,,,,
U.S. citizen or permanent resident,31.9,100.0,0.7,42.0,29.2,12.3,6.0,9.7
Temporary visa holder,31.1,100.0,0.9,48.0,36.4,10.2,2.8,1.7
Ethnicity and race (U.S. citizens and permanent residents),,,,,,,,
Hispanic or Latino,32.4,100.0,0.3,38.8,30.4,14.6,7.6,8.4
Not Hispanic or Latino,,,,,,,,
American Indian or Alaska Native,37.9,100.0,D,22.6,17.0,18.9,16.0,D
Asian,31.3,100.0,0.6,47.0,31.1,10.7,5.2,5.4
Black or African American,35.4,100.0,0.6,25.2,26.4,15.2,12.2,20.4
White,31.7,100.0,0.7,43.4,29.0,11.9,5.4,9.6
More than one race,31.3,100.0,0.9,46.1,28.7,12.3,4.3,7.7
Other race or race not reported,32.2,100.0,D,37.1,33.0,15.3,5.3,D
Ethnicity not reported,32.3,100.0,1,37.1,34.4,14.5,6.2,6.8
